Provider_Name,County,State,Ownership Type,Federal Provider Number
MOUNTAIN LAUREL HEALTHCARE AND REHABILITATION CTR,Clearfield,PA,Non profit,395331
BERWICK RETIREMENT VILLAGE NRS,Columbia,PA,For profit,395421
BLOOMSBURG CARE CENTER AND REHABILITATION CENTER,Columbia,PA,For profit,396065
"GARDENS AT ORANGEVILLE, THE",Columbia,PA,For profit,395899
CLAREMONT NRC OF CUMBERLAND CO,Cumberland,PA,Government,395660
FOREST PARK HEALTHCARE AND REHABILITATION CENTER,Cumberland,PA,For profit,395270
"GARDENS AT CAMP HILL, THE",Cumberland,PA,For profit,395123
"GARDENS AT WEST SHORE, THE",Cumberland,PA,For profit,395223
SARAH A TODD MEMORIAL HOME,Cumberland,PA,Non profit,395677
SHIPPENSBURG HEALTH CARE CENTER,Cumberland,PA,For profit,395964
THORNWALD HOME,Cumberland,PA,Non profit,395802
VIBRA REHABILITATION CENTER,Cumberland,PA,For profit,396133
"PREMIER AT SUSQUEHANNA FOR NURSING AND REHAB, LLC",Dauphin,PA,For profit,395428
SPRING CREEK REHABILITATION AND NURSING CENTER,Dauphin,PA,For profit,395074
AVENTURA AT PROSPECT,Delaware,PA,For profit,395203
BEAUMONT AT BRYN MAWR,Delaware,PA,Non profit,395753
"BELVEDERE CENTER, GENESIS HEALTHCARE, THE",Delaware,PA,For profit,395595
BRINTON MANOR NURSING AND REHABILITATION CENTER,Delaware,PA,For profit,395917
BROOMALL MANOR,Delaware,PA,For profit,395202
BROOMALL REHABILITATION AND NURSING CENTER,Delaware,PA,For profit,395078
BRYN MAWR EXTENDED CARE CENTER,Delaware,PA,For profit,395311
"BRYN MAWR TERRACE, THE",Delaware,PA,Non profit,395095
CONTINUING CARE  AT MARIS GROVE,Delaware,PA,Non profit,396123
FAIR ACRES GERIATRIC CENTER,Delaware,PA,Government,395780
HARLEE MANOR NURSING AND REHABILITATION CENTER,Delaware,PA,For profit,395690
HCC AT WHITE HORSE VILLAGE,Delaware,PA,Non profit,395833
LITTLE FLOWER MANOR,Delaware,PA,Non profit,395821
MANORCARE HEALTH SERVICES - WALLINGFORD,Delaware,PA,Non profit,395685
MANORCARE HEALTH SERVICES-YEADON,Delaware,PA,Non profit,395374
MONTICELLO HOUSE,Delaware,PA,Non profit,395974
PROVIDENCE REHAB AND HLTHCARE CTRATMERCYFITZGERALD,Delaware,PA,For profit,395989
QUADRANGLE,Delaware,PA,For profit,395801
ROSEMONT CENTER,Delaware,PA,For profit,395193
ROSEWOOD GARDENS REHABILITATION AND NURSING CENTER,Delaware,PA,Non profit,395052
ST FRANCIS CENTER FOR REHABILITATION & HEALTHCARE,Delaware,PA,For profit,395282
STERLING HEALTH CARE AND REHAB CENTER,Delaware,PA,For profit,396083
WESLEY ENHANCED LIVING MAIN LINE REHAB AND SKD NSG,Delaware,PA,Non profit,395498
WESTGATE HILLS REHABILITATION AND NURSING CTR,Delaware,PA,For profit,395173
WILLIAM HOOD DUNWOODY CARE CTR,Delaware,PA,Non profit,395329
WILLOWBROOKE COURT SKD CARE CENTER AT LIMA ESTATES,Delaware,PA,Non profit,395492
WILLOWBROOKE COURT-GRANITE,Delaware,PA,Non profit,395736
ABINGTON CREST HEALTHCAREANDREHABILITATION CENTER,Erie,PA,For profit,395174
"LECOM AT PRESQUE ISLE, INC",Erie,PA,Non profit,395404
MILLCREEK MANOR,Erie,PA,Non profit,396072
WALNUT CREEK HEALTHCARE AND REHABILITATION CENTER,Erie,PA,For profit,395200
MT MACRINA MANOR,Fayette,PA,Non profit,395629
MANORCARE HEALTH SERVICES-CHAMBERSBURG,Franklin,PA,For profit,395348
"PARAMOUNT NURSING AND REHAB AT FAYETTEVILLE, LLC",Franklin,PA,For profit,395721
SHOOK HOME THE,Franklin,PA,Non profit,395918
WOODLAND PARK REHAB CENTER,Huntingdon,PA,For profit,395697
"BEACON RIDGE, A CHOICE COMM",Indiana,PA,Non profit,395702
"COMMUNITIES AT INDIAN HAVEN,",Indiana,PA,Government,395778
ABINGTON MANOR,Lackawanna,PA,For profit,395701
ALLIED SERVICES SKILLED NURSING CENTER,Lackawanna,PA,Non profit,396074
CARBONDALE NURSING AND REHABILITATION CENTER,Lackawanna,PA,For profit,395260
DUNMORE HEALTH CARE CENTER,Lackawanna,PA,For profit,395567
"GARDENS AT SCRANTON, THE",Lackawanna,PA,For profit,395273
GINO J MERLI VETERANS CENTER,Lackawanna,PA,Government,39A433
JEWISH HOME OF EASTERN PENNSYL,Lackawanna,PA,Non profit,395103
LACKAWANNA HEALTH AND REHAB CENTER,Lackawanna,PA,For profit,395414
LINWOOD NURSING AND REHABILITATION CENTER,Lackawanna,PA,Non profit,395717
MID-VALLEY HEALTH CARE CENTER,Lackawanna,PA,For profit,395644
MOUNTAIN VIEW CARE AND REHABILITATION CENTER,Lackawanna,PA,For profit,395881
SAINT MARY'S VILLA NURSING HOM,Lackawanna,PA,Non profit,395104
BRETHREN VILLAGE,Lancaster,PA,Non profit,395328
CALVARY FELLOWSHIP HOMES INC,Lancaster,PA,Non profit,395349
CONESTOGA VIEW,Lancaster,PA,For profit,395774
ELIZABETHTOWN HEALTHCARE AND REHAB CENTER,Lancaster,PA,For profit,395844
EPHRATA MANOR,Lancaster,PA,Non profit,395857
GARDEN SPOT VILLAGE,Lancaster,PA,Non profit,396079
GLEN AT WILLOW VALLEY,Lancaster,PA,Non profit,395956
HAMILTON ARMS CENTER,Lancaster,PA,For profit,395224
"HOMESTEAD VILLAGE, INC",Lancaster,PA,Non profit,395720
LAKESIDE AT WILLOW VALLEY,Lancaster,PA,Non profit,395771
LANCASHIRE HALL,Lancaster,PA,For profit,395205
LANDIS HOMES,Lancaster,PA,Non profit,395797
LUTHER ACRES MANOR,Lancaster,PA,Non profit,395406
MANORCARE HEALTH SERVICES-LANCASTER,Lancaster,PA,Non profit,395199
"MENNONITE HOME, THE",Lancaster,PA,Non profit,395559
MORAVIAN MANOR,Lancaster,PA,Non profit,395325
MT HOPE NAZARENE RETIREMENT COMMUNITY,Lancaster,PA,Non profit,396119
PLEASANT VIEW COMMUNITIES,Lancaster,PA,Non profit,395786
QUARRYVILLE PRESBYTERIAN RETIREMENT COMMUNITY,Lancaster,PA,Non profit,395336
ROSE CITY NURSING AND REHAB AT LANCASTER,Lancaster,PA,For profit,395177
UNITED ZION RETIREMENT COMMUNI,Lancaster,PA,Non profit,395631
"GROVE AT NEW WILMINGTON, THE",Lawrence,PA,For profit,395197
QUALITY LIFE SERVICES - NEW CASTLE,Lawrence,PA,For profit,395003
CORNWALL MANOR,Lebanon,PA,Non profit,395180
MANORCARE HEALTH SERVICES-LEBANON,Lebanon,PA,Non profit,395472
STONERIDGE TOWNE CENTRE,Lebanon,PA,Non profit,395343
CEDARBROOK SENIOR CARE AND REHABILITATION,Lehigh,PA,Government,395465
FELLOWSHIP MANOR,Lehigh,PA,Non profit,395763
GOOD SHEPHERD HOME RAKER CENTER,Lehigh,PA,Non profit,395018
LEHIGH CENTER,Lehigh,PA,For profit,395939
LUTHER CREST NURSING FACILITY,Lehigh,PA,Non profit,395591
MANORCARE HEALTH SERVICES-ALLENTOWN,Lehigh,PA,Non profit,395760
MANORCARE HEALTH SERVICES-BETHLEHEM (2021),Lehigh,PA,Non profit,395429
MANORCARE HEALTH SERVICES-BETHLEHEM (2029),Lehigh,PA,Non profit,395527
MOSSER NURSING HOME,Lehigh,PA,Non profit,395105
VALLEY MANOR REHABILITATION AND HEALTHCARE CENTER,Lehigh,PA,For profit,395167
WESTMINSTER VILLAGE,Lehigh,PA,Non profit,395171
ALLIED SERVICES CENTER CITY SKILLED NURSING,Luzerne,PA,Non profit,395581
ALLIED SERVICES MEADE STREET SKILLED NURSING,Luzerne,PA,Non profit,395324
BIRCHWOOD HEALTHCARE AND REHABILITATION CENTER,Luzerne,PA,For profit,395651
"GARDENS AT WYOMING VALLEY, THE",Luzerne,PA,For profit,395456
GUARDIAN HEALTHCARE AND REHABILITATION CENTER,Luzerne,PA,For profit,395298
HEINZ TRANSITIONAL REHABILITATION UNIT,Luzerne,PA,Non profit,396109
HIGHLAND MANOR REHABILITATION AND NURSING CENTER,Luzerne,PA,For profit,395566
"MANOR AT ST LUKE VILLAGE,THE",Luzerne,PA,For profit,395636
MANORCARE HEALTH SERVICES-KINGSTON,Luzerne,PA,Non profit,395397
MOUNTAIN CITY NURSING & REHABILITATION CENTER,Luzerne,PA,For profit,395582
MOUNTAIN TOP HEALTHCARE AND REHABILITATION  CENTER,Luzerne,PA,For profit,395542
"PAVILION AT ST LUKE VILLAGE, THE",Luzerne,PA,For profit,395265
RIVER RUN HEALTHCARE AND REHABILITATION CENTER,Luzerne,PA,For profit,395345
RIVERSTREET MANOR,Luzerne,PA,For profit,395691
TIMBER RIDGE HEALTH CENTER,Luzerne,PA,For profit,395148
MANORCARE HEALTH SERVICES-JERSEY SHORE,Lycoming,PA,Non profit,395359
ROSE VIEW NURSING AND REHABILITATION CENTER,Lycoming,PA,For profit,395767
"WILLIAMSPORT HOME, THE",Lycoming,PA,Non profit,395678
OHESSON MANOR,Mifflin,PA,Non profit,395373
WILLIAM PENN HEALTHCARE AND REHABILITATION CENTER,Mifflin,PA,For profit,395335
BROOKMONT HEALTHCARE CENTER LLC,Monroe,PA,For profit,395462
"GARDENS AT STROUD, THE",Monroe,PA,For profit,395288
"PLEASANT VALLEY MANOR, INC",Monroe,PA,Government,395491
WHITESTONE CARE CENTER,Monroe,PA,For profit,396130
ABRAMSON RESIDENCE,Montgomery,PA,Non profit,396078
ABRAMSON SENIOR CARE AT LANKENAU MEDICAL CENTER,Montgomery,PA,Non profit,396001
AMBLER EXTENDED CARE CENTER,Montgomery,PA,For profit,395176
ARISTACARE AT MEADOW SPRINGS,Montgomery,PA,For profit,395019
ARTMAN LUTHERAN HOME,Montgomery,PA,Non profit,395922
BROOKSIDE HEALTHCARE & REHABILITATION CENTER,Montgomery,PA,For profit,395227
CHELTENHAM NURSING AND REHAB C,Montgomery,PA,For profit,395330
CHESTNUT HILL LODGE HEALTH AND REHAB CTR,Montgomery,PA,For profit,395334
DOCK TERRACE,Montgomery,PA,Non profit,395557
DRESHER HILL HEALTH & REHABILITATION CENTER,Montgomery,PA,For profit,395509
EDGEHILL NURSING AND REHAB CEN,Montgomery,PA,Non profit,395757
ELKINS CREST HEALTH & REHABILITATION CENTER,Montgomery,PA,For profit,395711
ELM TERRACE GARDENS,Montgomery,PA,Non profit,395507
GARDEN SPRING NURSING AND REHABILITATION CENTER,Montgomery,PA,For profit,395077
GWYNEDD HEALTHCARE AND REHABILITATION CENTER,Montgomery,PA,For profit,395479
HARBORVIEW REHABILITATION AND CARE CENTER AT LANSD,Montgomery,PA,For profit,395256
HARSTON HALL,Montgomery,PA,For profit,395791
HILLCREST CENTER,Montgomery,PA,For profit,395481
HOPKINS CENTER,Montgomery,PA,For profit,395342
LUTHER WOODS NURSING AND REHABILITATION CENTER,Montgomery,PA,For profit,395370
LUTHERAN COMMUNITY AT TELFORD,Montgomery,PA,Non profit,395804
MANORCARE HEALTH SERVICES-HUNTINGDON VALLEY,Montgomery,PA,Non profit,395913
MANORCARE HEALTH SERVICES-KING OF PRUSSIA,Montgomery,PA,Non profit,395834
MANORCARE HEALTH SERVICES-MONTGOMERYVILLE,Montgomery,PA,For profit,395796
MANORCARE HEALTH SERVICES-POTTSTOWN,Montgomery,PA,Non profit,395402
MASONIC VILLAGE AT LAFAYETTE HILL,Montgomery,PA,Non profit,395818
MEADOWOOD,Montgomery,PA,Non profit,395768
NORRITON SQUARE NURSING AND REHABILITATION CENTER,Montgomery,PA,For profit,396009
PAPERMILL ROAD NURSING AND REHABILITATION CENTER,Montgomery,PA,For profit,395545
PARKHOUSE REHABILITATION AND NURSING CENTER,Montgomery,PA,For profit,395454
PETER BECKER COMMUNITY,Montgomery,PA,Non profit,395648
PHOEBE WYNCOTE,Montgomery,PA,Non profit,396120
POWERBACK REHABILITATION 3485 DAVISVILLE ROAD,Montgomery,PA,For profit,396017
REGINA COMMUNITY NURSING CENTE,Montgomery,PA,Non profit,395483
REHAB AT SHANNONDELL,Montgomery,PA,For profit,396101
RYDAL PARK OF PHILADELPHIA PRS,Montgomery,PA,Non profit,395321
SAINT JOSEPH VILLA,Montgomery,PA,Non profit,395278
SAUNDERS HOUSE,Montgomery,PA,Non profit,395380
SILVER STREAM NURSING AND REHABILITATION CENTER,Montgomery,PA,For profit,395354
SOUDERTON MENNONITE HOMES,Montgomery,PA,Non profit,395634
ST JOSEPH'S MANOR (DBA ENTITY OF HRHS),Montgomery,PA,Non profit,395006
ST MARY CENTER FOR REHABILITATION & HEALTHCARE,Montgomery,PA,For profit,395621
SUBURBAN WOODS HEALTH & REHA,Montgomery,PA,For profit,395912
TOWNE MANOR EAST,Montgomery,PA,Non profit,395446
TOWNE MANOR WEST,Montgomery,PA,Non profit,395346
WAVERLY HEIGHTS,Montgomery,PA,Non profit,395718
WILLOWBROOKE COURT-SPRING HOUS,Montgomery,PA,Non profit,395495
WILLOWBROOKE CTSKDCARECTR AT FORTWASHINGTONESTATES,Montgomery,PA,For profit,395496
WILLOWBROOKE CTSKDCARECTR ATNORMANDY FARMS ESTATES,Montgomery,PA,Non profit,395665
WYNDMOOR HILLS REHABILITATION AND NURSING CENTER,Montgomery,PA,For profit,396115
YORK NURSING AND REHABILITATION CENTER,Montgomery,PA,For profit,395687
COUNTRY MEADOWS NURSING CENTER OF BETHLEHEM,Northampton,PA,For profit,396053
"GARDENS FOR MEMORY CARE AT EASTON, THE",Northampton,PA,For profit,395708
HOLY FAMILY MANOR,Northampton,PA,Non profit,395250
KIRKLAND VILLAGE,Northampton,PA,Non profit,395916
MANORCARE HEALTH SERVICES-EASTON,Northampton,PA,Non profit,395540
MORAVIAN HALL SQUARE HEALTH AND WELLNESS CENTER,Northampton,PA,Non profit,395752
MORAVIAN VILLAGE OF BETHLEHEM,Northampton,PA,Non profit,396096
NEW EASTWOOD HEALTHCARE AND REHABILITATION CENTER,Northampton,PA,For profit,395075
NORTHAMPTON COUNTY-GRACEDALE,Northampton,PA,Government,395476
OLD ORCHARD HEALTH CARE CENTER,Northampton,PA,Non profit,396077
NURSING AND REHABILITATION AT THE MANSION,Northumberlnd,PA,For profit,395482
BALA NURSING AND RETIREMENT CE,Philadelphia,PA,For profit,396076
CARE PAVILION NURSING AND REHABILITATION CENTER,Philadelphia,PA,For profit,395893
CARING HEART REHABILITATION AND NURSING CENTER,Philadelphia,PA,Non profit,395819
CATHEDRAL VILLAGE,Philadelphia,PA,Non profit,395467
CENTENNIAL HEALTHCARE AND REHABILITATION CENTER,Philadelphia,PA,For profit,395950
CHAPEL MANOR,Philadelphia,PA,For profit,395449
CLIVEDEN NURSING AND REHABILITATION CENTER,Philadelphia,PA,For profit,395852
DEER MEADOWS REHABILITATION CENTER,Philadelphia,PA,For profit,395425
DELAWARE VALLEY VETERAN'S HOME,Philadelphia,PA,Government,39A436
FAIRVIEW NURSING AND REHABILITATION CENTER,Philadelphia,PA,For profit,395782
GERMANTOWN HOME,Philadelphia,PA,Non profit,395360
HOLY FAMILY HOME,Philadelphia,PA,Non profit,395637
IMMACULATEMARYCENTER FOR REHABILITATION&HEALTHCARE,Philadelphia,PA,For profit,395338
INGLIS HOUSE,Philadelphia,PA,Non profit,395134
IVY HILL REHAB CENTER,Philadelphia,PA,For profit,395525
KEARSLEY REHABILITATION AND NURSING CENTER,Philadelphia,PA,For profit,395983
"LAFAYETTE-REDEEMER, THE",Philadelphia,PA,Non profit,395704
LIBERTY CENTER FOR REHABILITATION AND NURSING,Philadelphia,PA,For profit,395764
MAPLEWOOD NURSING AND REHAB  CENTER,Philadelphia,PA,For profit,395865
MEADOWVIEW REHABILITATION AND NURSING CENTER,Philadelphia,PA,For profit,395296
OAKWOOD HEALTHCARE & REHABILITATION CENTER,Philadelphia,PA,For profit,395110
PAUL'S RUN,Philadelphia,PA,Non profit,395738
PENNYPACK NURSING AND REHABILITATION CENTER,Philadelphia,PA,For profit,395135
PHILADELPHIA NURSING HOME,Philadelphia,PA,Government,395478
PHILADELPHIA PROTESTANT HOME,Philadelphia,PA,Non profit,395961
POWERBACK REHABILITATION 1526 LOMBARD STREET,Philadelphia,PA,For profit,395485
PRESBYTERIAN CTR FOR CONT CARE,Philadelphia,PA,Non profit,395749
RENAISSANCE HEALTHCARE & REHABILITATION CENTER,Philadelphia,PA,For profit,395628
RESTORE HEALTH AT UNIVERSITY CITY,Philadelphia,PA,For profit,395722
RIVER'S EDGE REHABILITATION & HEALTHCARE CENTER,Philadelphia,PA,For profit,395843
ROOSEVELT REHABILITATION AND HEALTHCARE CENTER,Philadelphia,PA,For profit,395537
SIMPSON HOUSE INC,Philadelphia,PA,Non profit,395121
SOMERTON  NURSING AND REHABILITATION CENTER,Philadelphia,PA,For profit,395084
"SPRINGS AT THE WATERMARK, THE",Philadelphia,PA,For profit,395662
ST IGNATIUS NURSING & REHAB CENTER,Philadelphia,PA,Non profit,395686
ST JOHN NEUMANN CTR FOR REHAB & HEALTHCARE,Philadelphia,PA,For profit,395182
ST MONICA CENTER FOR REHABILITATION & HEALTHCARE,Philadelphia,PA,For profit,395558
"TCU AT NAZARETH HOSPITAL, THE",Philadelphia,PA,Non profit,396002
THE PINES AT PHILADELPHIA REHAB AND HEALTHCARE CTR,Philadelphia,PA,For profit,396070
TUCKER HOUSE NURSING AND REHABILITATION CENTER,Philadelphia,PA,For profit,395461
"TULIP SPECIAL CARE, LLC",Philadelphia,PA,For profit,396143
WESLEY  ENHANCED LIVING AT STAPELEY,Philadelphia,PA,Non profit,395715
WESLEY ENHANCED LIVING PENNYPACK PARK,Philadelphia,PA,Non profit,395413
WILLOW TERRACE,Philadelphia,PA,For profit,396129
WILLOWCREST,Philadelphia,PA,Non profit,395515
BELLE REVE HEALTH CARE CENTER,Pike,PA,For profit,396080
GREEN VALLEY SKILLED NURSING AND REHABILITATION CE,Schuylkill,PA,For profit,396086
HOMETOWN NURSING AND REHAB CEN,Schuylkill,PA,For profit,395875
MANORCARE HEALTH SERVICES-POTTSVILLE,Schuylkill,PA,For profit,395344
ROSEWOOD REHABILITATION & NURSING CENTER,Schuylkill,PA,For profit,395416
SCHUYLKILL CENTER,Schuylkill,PA,For profit,395831
SETON MANOR NURSING AND REHABILITATION CENTER,Schuylkill,PA,For profit,396063
SHENANDOAH MANOR NURSING CENTE,Schuylkill,PA,For profit,395556
TREMONT HEALTH & REHABILITATION CENTER,Schuylkill,PA,For profit,395499
BARNES-KASSON COUNTY HOSPITAL,Susquehanna,PA,Non profit,395285
FOREST CITY NURSING AND REHAB CENTER,Susquehanna,PA,For profit,395554
RIVERWOODS,Union,PA,Non profit,395283
MANORCARE HEALTH SERVICES-PETERS TOWNSHIP,Washington,PA,Non profit,395783
MON VALLEY CARE CENTER,Washington,PA,For profit,396085
SOUTHMONT OF PRESBYTERIAN SENIORCARE,Washington,PA,Non profit,395671
"GROVE AT LATROBE, THE",Westmoreland,PA,For profit,395892
HARMON HOUSE CARE CENTER,Westmoreland,PA,For profit,395726
LOYALHANNA CARE CENTER,Westmoreland,PA,For profit,395860
MURRYSVILLE REHABILITATION AND WELLNESS CENTER,Westmoreland,PA,For profit,395295
QUALITY LIFE SERVICES - APOLLO,Westmoreland,PA,For profit,395371
TRANSITIONS HEALTHCARE NORTH HUNTINGDON,Westmoreland,PA,For profit,395585
WESTMORELAND MANOR,Westmoreland,PA,Government,395435
HANOVER HALL,York,PA,For profit,395016
MANORCARE HEALTH SERVICES-DALLASTOWN,York,PA,Non profit,395451
MANORCARE HEALTH SERVICES-KINGSTON COURT,York,PA,Non profit,395037
MANORCARE HEALTH SERVICES-YORK SOUTH,York,PA,Non profit,395309
PLEASANT ACRES REHABILITATION AND NURSING CENTER,York,PA,For profit,395290
"CRESTWOOD NURSING & REHABILIATION CENTER, INC",Bristol,RI,For profit,415070
SAINT ELIZABETH MANOR EAST BAY,Bristol,RI,Non profit,415050
BRENTWOOD NURSING HOME,Kent,RI,For profit,415061
KENT REGENCY CENTER,Kent,RI,For profit,415009
RIVERVIEW HEALTHCARE COMMUNITY,Kent,RI,For profit,415082
WEST SHORE HEALTH CENTER,Kent,RI,For profit,415028
WEST VIEW NURSING AND REHABILIATION CENTER,Kent,RI,For profit,415067
GRAND ISLANDER CENTER,Newport,RI,For profit,415034
VILLAGE HOUSE NURSING & REHABILITATION CENTER,Newport,RI,For profit,415074
BALLOULIFE COMMUNITIES,Providence,RI,Non profit,415094
BANNISTER CTR FOR REHABILITATION AND HEALTH CARE,Providence,RI,For profit,415038
BERKSHIRE PLACE,Providence,RI,For profit,415119
BETHANY HOME OF RHODE ISLAND,Providence,RI,Non profit,415096
CEDAR CREST NURSING CENTRE INC,Providence,RI,For profit,415032
CHARLESGATE NURSING CENTER,Providence,RI,For profit,415052
CHERRY HILL MANOR,Providence,RI,For profit,415053
CORTLAND PLACE,Providence,RI,For profit,415123
CRYSTAL LAKE REHABILITATION AND CARE CENTER,Providence,RI,For profit,415099
EASTGATE NURSING & REHABILITATION CENTER,Providence,RI,For profit,415083
ELMHURST REHABILITATION & HEALTHCARE CENTER,Providence,RI,For profit,415084
ELMWOOD NURSING AND REHABILITATION CENTER,Providence,RI,For profit,415072
EVERGREEN HOUSE HEALTH CENTER,Providence,RI,For profit,415056
FRIENDLY HOME INC THE,Providence,RI,For profit,415044
GOLDEN CREST NURSING CENTRE,Providence,RI,For profit,415029
GREENVILLE SKILLED NURSING AND REHABILITATION,Providence,RI,For profit,415087
HALLWORTH HOUSE,Providence,RI,Non profit,415024
HARRIS HEALTH CARE CENTER NORTH,Providence,RI,For profit,415108
HEBERT NURSING HOME,Providence,RI,For profit,415049
HERITAGE HILLS NURSING & REHABILITATION CENTER,Providence,RI,For profit,415039
HOPKINS MANOR LTD,Providence,RI,For profit,415035
LINN HEALTH AND REHABILITATION,Providence,RI,For profit,415090
MORGAN HEALTH CENTER,Providence,RI,For profit,415062
MOUNT ST RITA HEALTH CENTRE,Providence,RI,Non profit,415085
OAK HILL HEALTH & REHABILITATION CENTER,Providence,RI,For profit,415027
OAKLAND GROVE HEALTH CARE CENTER,Providence,RI,For profit,415110
ORCHARD VIEW MANOR,Providence,RI,For profit,415059
ST ANTOINE RESIDENCE,Providence,RI,Non profit,415106
STEERE HOUSE NURSING AND REHABILITATION CTR,Providence,RI,For profit,415091
SUMMIT COMMONS REHABILITATION AND HEALTH CARE CNT,Providence,RI,For profit,415129
TRINITY HEALTH AND REHABILITATION CENTER,Providence,RI,For profit,415079
WATERVIEW VILLA REHABILITATION AND HEALTH CARE CEN,Providence,RI,For profit,415042
WOONSOCKET HEALTH CENTRE,Providence,RI,For profit,415041
SCALABRINI VILLA,Washington,RI,Non profit,415063
SOUTH COUNTY NURSING AND REHABILITATION CENTER,Washington,RI,For profit,415071
SOUTH KINGSTOWN NURSING AND REHAB CTR,Washington,RI,For profit,415054
"ABBEVILLE NURSING HOME, INC.",Abbeville,SC,For profit,425057
"ANCHOR REHAB AND HEALTHCARE CENTER OF AIKEN, LLC",Aiken,SC,For profit,425311
CARLYLE SENIOR CARE OF AIKEN,Aiken,SC,For profit,425014
JOHN EDWARD HARTER NURSING CENTER,Allendale,SC,For profit,425103
BAYVIEW MANOR,Beaufort,SC,For profit,425067
FRASER HEALTH CENTER,Beaufort,SC,Non profit,425150
HEARTLAND HEALTH AND REHABILITATION CARE CENTER-HA,Charleston,SC,For profit,425289
WHITE OAK MANOR - CHARLESTON,Charleston,SC,For profit,425128
LAKE MARION NURSING FACILITY,Clarendon,SC,Non profit,425300
WINDSOR MANOR,Clarendon,SC,Non profit,425114
PRUITTHEALTH-WALTERBORO,Colleton,SC,For profit,425053
BETHEA BAPTIST HEALTHCARE CENTER,Darlington,SC,Non profit,425372
MORRELL NURSING CENTER,Darlington,SC,For profit,425111
PRUITTHEALTH- RIDGEWAY,Fairfield,SC,For profit,425288
RIDGEWAY MANOR HEALTHCARE CENTER,Fairfield,SC,For profit,425158
CARLYLE SENIOR CARE OF FLORENCE,Florence,SC,For profit,425163
COMMANDER NURSING CENTER,Florence,SC,For profit,425119
SOUTHLAND HEALTH CARE CENTER,Florence,SC,For profit,425157
PRINCE GEORGE HEALTHCARE CENTER,Georgetown,SC,For profit,425295
BRUSHY CREEK POST ACUTE,Greenville,SC,For profit,425004
GREENVILLE POST ACUTE,Greenville,SC,For profit,425042
GREER REHABILITATION AND HEALTHCARE CENTER,Greenville,SC,For profit,425138
HEARTLAND HEALTH CARE CENTER - GREENVILLE EAST,Greenville,SC,Non profit,425106
HEARTLAND HEALTH CARE CENTER - GREENVILLE WEST,Greenville,SC,Non profit,425294
PATEWOOD REHABILITATION & HEALTHCARE CENTER,Greenville,SC,For profit,425305
POINSETT REHABILITATION AND HEALTHCARE CENTER,Greenville,SC,For profit,425102
ROLLING GREEN VILLAGE,Greenville,SC,Non profit,425160
"SIMPSONVILLE REHABILITATION AND HEALTHCARE CENTER,",Greenville,SC,For profit,425112
SOUTHERN OAKS REHABILITATION AND HEALTHCARE CENTER,Greenville,SC,For profit,425314
"LORIS REHAB AND NURSING CENTER, LLC",Horry,SC,For profit,425086
MYRTLE BEACH MANOR,Horry,SC,For profit,425070
THE RETREAT AT BRIGHTWATER,Horry,SC,For profit,425395
